XS YS
-47740757425.24845 -61138016296.55923
-47689966414.91297 -61212960195.459595
-47639131564.02091 -61287847757.796104
-47588252966.532684 -61362678975.4866
-47537330716.321 -61437453840.61417
-47486364907.17063 -61512172345.42663
-47435355632.778114 -61586834482.3361
-47384302986.75149 -61661440243.918526
-47333207062.61005 -61735989622.9132
-47282067953.784065 -61810482612.2223
-47230885753.61454 -61884919204.91041
-47179660555.35292 -61959299394.204056
-47128392452.16089 -62033623173.49124
-47077081537.11006 -62107890536.320984
-47025727903.18176 -62182101476.402824
-46974331643.26678 -62256255987.60639
-46922892850.16507 -62330354063.960915
-46871411616.5856 -62404395699.65474
-46819888035.146 -62478380889.034904
-46768322198.37241 -62552309626.60664
-46716714198.69917 -62626181907.03291
-46665064128.468636 -62699997725.13396
-46613372079.93091 -62773757075.8868
-46561638145.2436 -62847459954.42484
-46509862416.47162 -62921106356.0373
-46458044985.58694 -62994696276.16884
-46406185944.46834 -63068229710.419044
-46354285384.90122 -63141706654.541985
-46302343398.57735 -63215127104.44574
-46250360077.09464 -63288491056.19193
-46198335511.956955 -63361798505.995285
-46146269794.57384 -63435049450.22311
-46094163016.260345 -63508243885.3949
-46042015268.2368 -63581381808.18184
-45989826641.6286 -63654463215.40634
-45937597227.46599 -63727488104.04158
-45885327116.68384 -63800456471.21105
-45833016400.12146 -63873368314.188095
-45780665168.52239 -63946223630.395424
-45728273512.53418 -64019022417.404686
-45675841522.70819 -64091764672.93598
-45623369289.49942 -64164450394.85743
-45570856903.26626 -64237079581.18469
-45518304454.270325 -64309652230.08051
-45465712032.67625 -64382168339.854256
-45413079728.55149 -64454627908.96146
-45360407631.86616 -64527030936.00336
-45307695832.49278 -64599377419.72647
-45254944420.20616 -64671667359.02207
-45202153484.68316 -64743900752.925804
-45149323115.50251 -64816077600.61719
-45096453402.14467 -64888197901.41916
-45043544433.99158 -64960261654.797615
-44990596300.32654 -65032268860.361
-44937609090.334 -65104219517.859795
-44884582893.0994 -65176113627.1861
-44831517797.60897 -65247951188.373146
-44778413892.74958 -65319732201.594894
-44725271267.30856 -65391456667.16553
-44672090009.97353 -65463124585.53904
-44618870209.33224 -65534735957.30876
-44565611953.87238 -65606290783.206924
-44512315331.981445 -65677789064.10418
-44458980431.946556 -65749230801.009186
-44405607341.95429 -65820615995.06814
-44352196150.09054 -65891944647.56431
-44298746944.34034 -65963216759.91764
-44245259812.58772 -66034432333.68425
-44191734842.61555 -66105591370.55599
-44138172122.10538 -66176693872.36004
-44084571738.637276 -66247739841.05841
-44030933779.68972 -66318729278.74752
-43977258332.63939 -66389662187.65775
-43923545484.76108 -66460538570.15301
-43869795323.2275 -66531358428.73023
-43816007935.10918 -66602121766.01902
-43762183407.37428 -66672828584.78114
-43708321826.888504 -66743478887.91011
-43654423280.41491 -66814072678.430725
-43600487854.61381 -66884609959.49865
-43546515636.042595 -66955090734.39994
-43492506711.15565 -67025515006.55065
-43438461166.30419 -67095882779.496346
-43384379087.73614 -67166194056.91169
-43330260561.59597 -67236448842.59999
-43276105673.924644 -67306647140.49279
-43221914510.65942 -67376788954.64938
-43167687157.63375 -67446874289.25642
-43113423700.57719 -67516903148.62743
-43059124225.1152 -67586875537.20244
-43004788816.769104 -67656791459.54747
-42950417560.95594 -67726650920.354164
-42896010542.98833 -67796453924.43931
-42841567848.07438 -67866200476.74442
-42787089561.31756 -67935890582.33531
-42732575767.716576 -68005524246.40166
-42678026552.16531 -68075101474.25655
-42623441999.45266 -68144622271.33609
-42568822194.26243 -68214086643.19894
-42514167221.173256 -68283494595.52589
-42459477164.65848 -68352846134.11945
-42404752109.08605 -68422141264.90341
